,GENDER,RACE,AGE_GROUP,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
70048,Male,Black,Under 18,Alameda County,441,366,122,20,107,1056,714,108
70049,Male,Black,Under 18,Alpine County,0,0,0,0,0,0,0,0
70050,Male,Black,Under 18,Amador County,0,0,0,0,1,1,1,0
70051,Male,Black,Under 18,Butte County,12,7,2,2,6,29,54,0
70052,Male,Black,Under 18,Calaveras County,1,1,0,0,1,3,6,0
70053,Male,Black,Under 18,Colusa County,0,1,0,0,0,1,0,0
70054,Male,Black,Under 18,Contra Costa County,205,194,33,9,42,483,488,10
70055,Male,Black,Under 18,Del Norte County,0,0,0,0,0,0,1,0
70056,Male,Black,Under 18,El Dorado County,0,0,1,0,1,2,11,0
70057,Male,Black,Under 18,Fresno County,106,116,24,3,48,297,504,19
70058,Male,Black,Under 18,Glenn County,0,1,2,0,0,3,0,0
70059,Male,Black,Under 18,Humboldt County,4,1,1,0,1,7,9,12
70060,Male,Black,Under 18,Imperial County,2,5,0,0,3,10,19,3
70061,Male,Black,Under 18,Kern County,82,127,15,3,44,271,265,26
70062,Male,Black,Under 18,Kings County,8,20,4,2,6,40,66,29
70063,Male,Black,Under 18,Lake County,2,4,0,0,2,8,10,1
70064,Male,Black,Under 18,Lassen County,0,0,0,0,1,1,4,0
70065,Male,Black,Under 18,Los Angeles County,1393,1258,206,65,491,3413,2537,945
70066,Male,Black,Under 18,Madera County,7,9,0,0,8,24,9,0
70067,Male,Black,Under 18,Marin County,17,20,3,0,5,45,86,2
70068,Male,Black,Under 18,Mariposa County,0,0,0,0,0,0,1,0
70069,Male,Black,Under 18,Mendocino County,2,2,1,0,1,6,8,0
70070,Male,Black,Under 18,Merced County,26,19,5,1,17,68,123,37
70071,Male,Black,Under 18,Monterey County,18,19,2,0,7,46,64,11
70072,Male,Black,Under 18,Napa County,4,2,3,0,1,10,15,0
70073,Male,Black,Under 18,Nevada County,2,3,0,0,0,5,6,3
70074,Male,Black,Under 18,Orange County,38,59,8,4,23,132,185,48
70075,Male,Black,Under 18,Placer County,3,15,1,1,2,22,37,2
70076,Male,Black,Under 18,Plumas County,0,0,0,0,0,0,2,0
70077,Male,Black,Under 18,Riverside County,177,247,19,5,64,512,497,327
70078,Male,Black,Under 18,Sacramento County,293,468,63,14,108,946,903,117
70079,Male,Black,Under 18,San Benito County,0,0,0,0,1,1,5,0
70080,Male,Black,Under 18,San Bernardino County,282,291,53,28,81,735,1391,55
70081,Male,Black,Under 18,San Diego County,242,282,25,16,90,655,805,373
70082,Male,Black,Under 18,San Francisco County,176,96,50,5,103,430,215,2
70083,Male,Black,Under 18,San Joaquin County,142,133,25,13,59,372,672,7
70084,Male,Black,Under 18,San Luis Obispo County,4,4,0,0,1,9,18,2
70085,Male,Black,Under 18,San Mateo County,44,30,6,0,13,93,111,25
70086,Male,Black,Under 18,Santa Barbara County,4,4,2,2,4,16,39,7
70087,Male,Black,Under 18,Santa Clara County,65,67,16,11,26,185,389,40
70088,Male,Black,Under 18,Santa Cruz County,4,3,2,0,3,12,24,1
70089,Male,Black,Under 18,Shasta County,6,5,2,0,4,17,46,15
70090,Male,Black,Under 18,Siskiyou County,0,1,0,0,0,1,2,0
70091,Male,Black,Under 18,Solano County,90,93,32,9,46,270,539,39
70092,Male,Black,Under 18,Sonoma County,12,20,6,0,8,46,86,4
70093,Male,Black,Under 18,Stanislaus County,28,23,5,3,7,66,123,14
70094,Male,Black,Under 18,Sutter County,0,4,0,0,2,6,23,9
70095,Male,Black,Under 18,Tehama County,0,0,0,1,1,2,1,0
